Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1976","1976","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1977","1977","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1978","1978","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1979","1979","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1980","1980","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1981","1981","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1982","1982","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1983","1983","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1984","1984","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1985","1985","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1986","1986","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1987","1987","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1988","1988","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1989","1989","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1990","1990","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1991","1991","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1992","1992","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1993","1993","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1994","1994","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1995","1995","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1996","1996","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1997","1997","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1998","1998","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1999","1999","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1961","1961","g/capita/day","64.7","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1962","1962","g/capita/day","67.65","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1963","1963","g/capita/day","71.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1964","1964","g/capita/day","67.45","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1965","1965","g/capita/day","65.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1966","1966","g/capita/day","67.1","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1967","1967","g/capita/day","69.62","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1968","1968","g/capita/day","70.57","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1969","1969","g/capita/day","73.54","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1970","1970","g/capita/day","75.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1971","1971","g/capita/day","77.15","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2731","Bovine Meat","1972","1972","g/capita/day","76.6","Fc","Calculated data"
